Book Id,Book name,Number of Idioms,Number of words,Idiom,Frequency
1,Angel of Terror 1922.docx,30,60878,late in life,1
1,Angel of Terror 1922.docx,30,60878,in name only,1
1,Angel of Terror 1922.docx,30,60878,in broad daylight,3
1,Angel of Terror 1922.docx,30,60878,matter of fact,2
1,Angel of Terror 1922.docx,30,60878,in a flash,3
1,Angel of Terror 1922.docx,30,60878,on the spot,1
1,Angel of Terror 1922.docx,30,60878,in arrears,1
1,Angel of Terror 1922.docx,30,60878,in black and white,1
1,Angel of Terror 1922.docx,30,60878,at large,1
1,Angel of Terror 1922.docx,30,60878,rough it,1
1,Angel of Terror 1922.docx,30,60878,ill at ease,1
1,Angel of Terror 1922.docx,30,60878,play the game,1
1,Angel of Terror 1922.docx,30,60878,in vain,2
1,Angel of Terror 1922.docx,30,60878,in the family,1
1,Angel of Terror 1922.docx,30,60878,hard cash,1
1,Angel of Terror 1922.docx,30,60878,cut and dried,1
1,Angel of Terror 1922.docx,30,60878,ring off,1
1,Angel of Terror 1922.docx,30,60878,in the air,1
1,Angel of Terror 1922.docx,30,60878,up in the air,1
1,Angel of Terror 1922.docx,30,60878,come round,2
1,Angel of Terror 1922.docx,30,60878,mind you,1
1,Angel of Terror 1922.docx,30,60878,in part,1
1,Angel of Terror 1922.docx,30,60878,in other words,1
